id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
32,Softwoods,"Larch, European",Larix decidua,United Kingdom,A.D.,77,13.0,,545,0.48,0.053,1067,92,15.7,374,9900,2230,374,0.128,0.037,374,0.205,0.075,328,0.76,0.169,329,46.7,7.59,1067,3650,691,888,12.4,2.32,1084,9.3,1.58,196,10.9,2.52,197
33,Softwoods,"Larch, Japanese",Larix kaempferi,United Kingdom,G.,59 trees and 30 joists,59,609,,0.41,0.055,909,48,10.5,560,6800,2080,559,0.092,0.031,435,0.257,0.088,435,0.74,0.196,418,21.9,4.92,909,2140,527,635,6.1,1.11,1114,7.7,1.2,163,9.6,1.57,162
34,Softwoods,"Larch, Japanese",Larix kaempferi,United Kingdom,A.D.,59 trees and 30 joists,12.7,,481,0.43,0.062,889,83,16.3,417,8300,2350,417,0.101,0.03,369,0.154,0.066,369,0.69,0.209,395,43.0,9.72,889,2890,731,519,11.8,2.23,990,8.2,1.56,110,10.9,2.15,110
35,Softwoods,"Pine, Caribbean pitch",Pinus caribaea,Belize,G.,10,41,977,,0.6,0.065,214,66,8.7,36,10400,1590,36,0.091,0.02,36,0.338,0.046,15,1.04,0.091,18,33.0,4.38,202,3200,714,53,9.2,1.53,64,9.3,1.24,29,10.0,1.69,29
36,Softwoods,"Pine, Caribbean pitch",Pinus caribaea,Belize,A.D.,10,12,,769,0.62,0.07,237,107,14.5,68,12600,1800,68,0.126,0.042,68,0.253,0.06,23,0.91,0.196,45,56.1,7.76,201,4980,1324,157,14.3,2.81,198,12.1,1.58,81,13.3,1.58,81
37,Softwoods,"Pine, Caribbean pitch",Pinus caribaea,Nicaragua,G.,5,29,977,,0.66,0.122,46,83,15.3,17,11400,1650,17,0.135,0.033,17,0.352,0.114,17,0.99,0.314,13,37.4,7.43,46,4180,1278,17,9.9,1.86,30,8.6,1.61,13,11.0,1.72,13
38,Softwoods,"Pine, Corsican",Pinus nigra subsp. laricio,Corsica,G.,20 joists,28,705,,0.47,0.061,180,63,11.5,60,10400,2320,60,0.104,0.028,60,,,,0.74,0.176,60,25.5,4.27,60,2800,560,32,,,,,,,,,
39,Softwoods,"Pine, Corsican",Pinus nigra subsp. laricio,United Kingdom,G.,38 trees and 20 joists,138,609,,0.4,0.045,1248,41,7.2,237,7000,1660,236,0.061,0.021,232,0.162,0.069,127,0.53,0.124,140,19.4,3.44,1248,1910,421,336,5.6,0.95,472,7.5,1.33,239,8.9,1.22,239
40,Softwoods,"Pine, Corsican",Pinus nigra subsp. laricio,United Kingdom,A.D.,38 trees and 20 joists,12,,481,0.42,0.05,1005,81,15.0,182,9200,2290,182,0.084,0.025,161,0.114,0.042,80,0.56,0.137,103,44.3,7.99,1005,2890,776,397,10.6,1.61,426,9.5,1.56,210,12.3,2.28,210
41,Softwoods,"Pine, Cyprus",Pinus brutia,Cyprus,A.D.,5 planks,12.1,,577,0.52,0.056,32,91,10.8,32,10400,1690,32,,,,,,,0.64,0.14,30,49.9,4.26,32,4050,665,32,14.1,2.01,64,9.1,1.83,31,13.0,2.11,32
42,Softwoods,"Pine, Holford",Pinus holfordiana,United Kingdom,G.,1,41,513,,0.34,0.026,21,,,,,,,,,,,,,,,,18.5,1.28,21,,,,,,,,,,,,
43,Softwoods,"Pine, Holford",Pinus holfordiana,United Kingdom,A.D.,1,13.6,,400,0.36,0.032,21,,,,,,,,,,,,,,,,32.4,2.4,21,,,,,,,,,,,,
44,Softwoods,"Pine, lodgepole",Pinus contorta,United Kingdom,G.,25,87,593,,0.39,0.051,384,41,8.3,242,6400,1800,242,0.074,0.025,122,0.168,0.062,122,0.61,0.143,302,18.8,3.71,384,2270,526,242,5.6,0.89,256,7.4,1.43,78,10.0,1.62,78
45,Softwoods,"Pine, lodgepole",Pinus contorta,United Kingdom,A.D.,25,13.3,,481,0.42,0.059,361,79,16.6,212,8100,2030,212,0.099,0.026,114,0.108,0.037,114,0.61,0.136,271,38.2,9.18,361,2940,891,212,12.1,2.82,214,10.3,2.0,62,14.5,2.49,62
46,Softwoods,"Pine, maritime",Pinus pinaster,United Kingdom,G.,7,131,609,,0.41,0.032,155,36,3.2,36,6600,1100,36,0.046,0.023,36,0.19,0.042,14,0.58,0.08,15,17.4,1.91,155,1690,266,37,5.0,0.61,66,8.1,0.62,29,8.8,1.34,26
47,Softwoods,"Pine, maritime",Pinus pinaster,United Kingdom,A.D.,7,12,,481,0.43,0.035,142,77,7.6,18,8900,930,18,0.084,0.018,18,0.115,0.023,18,0.66,0.083,15,39.9,3.54,142,2670,479,46,11.4,1.7,60,11.2,1.28,26,14.5,2.13,26
48,Softwoods,"Pine, parana",Araucaria angustifolia,South America,G.,26 planks,37,689,,0.46,0.057,426,52,10.5,139,8700,1780,139,0.082,0.037,36,0.179,0.097,36,0.58,0.128,144,28.8,5.21,143,2490,719,139,7.6,1.36,140,6.7,1.5,72,10.5,2.14,72
49,Softwoods,"Pine, parana",Araucaria angustifolia,South America,A.D.,26 planks,12,,529,0.47,0.058,174,98,17.0,173,10400,1730,173,0.103,0.031,52,0.105,0.034,52,0.61,0.143,171,55.0,9.35,174,3470,874,172,13.6,2.67,167,10.0,2.03,90,15.1,3.92,90
50,Softwoods,"Pine, ponderosa",Pinus ponderosa,Canada?,G.,7 railway sleepers,130,561,,0.37,0.032,58,38,5.8,58,6000,1130,58,0.065,0.019,57,0.148,0.041,57,0.51,0.086,58,17.7,2.68,58,1780,278,58,4.8,0.59,116,5.4,0.64,58,6.8,0.95,58
