id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
352,Hardwoods,Santa Maria,Calophyllum brasiliense var. rekoi,Central America,G.,10,62,817,,0.54,0.043,320,77,8.1,119,10100,1240,119,0.084,0.031,119,0.254,0.108,52,0.79,0.178,67,37.9,3.76,290,4630,795,105,10.2,1.51,109,14.0,1.28,54,17.3,1.95,57
353,Hardwoods,Santa Maria,Calophyllum brasiliense var. rekoi,Central America,A.D.,10,12,,641,0.57,0.045,319,108,11.6,77,11800,820,77,0.104,0.037,77,0.2,0.054,35,0.91,0.154,64,60.2,5.01,292,5560,996,178,14.8,2.25,258,14.5,1.78,122,18.6,2.8,123
354,Hardwoods,Sapele,Entandrophragma cylindricum,West Africa,G.,5,62,833,,0.55,0.042,129,74,9.9,50,9600,1630,50,0.088,0.03,26,0.227,0.071,26,0.91,0.164,50,36.0,5.98,129,4540,659,50,9.8,1.39,52,15.4,1.56,29,17.3,1.73,29
355,Hardwoods,Sapele,Entandrophragma cylindricum,West Africa,A.D.,5,12,,673,0.6,0.044,120,111,15.7,50,11700,1710,50,0.132,0.037,26,0.228,0.064,26,0.99,0.187,49,58.6,6.98,120,6720,928,50,17.9,1.8,60,23.6,2.89,26,25.6,3.09,26
356,Hardwoods,Selangan batu,Shorea ?superba,Sabah,G.,2,56,1057,,0.7,0.068,32,111,18.7,17,14300,3270,17,0.107,0.036,8,0.245,0.089,8,0.94,0.133,15,58.3,9.98,32,6450,1201,17,11.5,1.93,32,15.2,1.95,16,19.6,3.41,16
357,Hardwoods,Selangan batu,Shorea ?superba,Sabah,A.D.,2,13.9,,833,0.74,0.062,32,143,17.4,15,17100,1890,15,0.159,0.025,8,0.323,0.024,8,1.22,0.187,15,77.2,10.08,32,6810,1256,15,15.5,1.73,32,11.9,1.71,15,15.6,1.61,15
358,Hardwoods,Selangan batu,Shorea superba,Sabah,G.,3,56,945,,0.62,0.074,56,96,15.7,29,11700,1920,29,0.101,0.033,12,0.229,0.07,12,1.02,0.274,27,50.1,8.76,56,5380,1258,29,11.6,2.49,54,13.5,2.89,28,19.4,3.7,28
359,Hardwoods,Selangan batu,Shorea superba,Sabah,A.D.,3,13.5,,753,0.67,0.084,56,122,26.5,27,13700,1980,27,0.142,0.07,11,0.288,0.118,11,1.02,0.247,28,65.6,8.23,56,5650,1369,27,15.5,3.49,54,11.4,0.96,28,17.3,2.01,28
360,Hardwoods,"Selangan batu, red",Shorea guiso,Sabah,G.,5,52,993,,0.67,0.034,41,105,11.5,41,14100,1670,41,,,,,,,1.14,0.142,41,53.2,5.34,41,6320,865,41,11.6,1.72,82,,,,,,
361,Hardwoods,"Selangan batu, red",Shorea guiso,Sabah,A.D.,5,14.1,,817,0.72,0.032,34,143,12.1,34,15000,1950,34,,,,,,,1.35,0.103,34,69.3,4.09,34,6580,1066,34,15.4,1.72,68,,,,,,
362,Hardwoods,"Sepetir, swamp",Pseudosindora palustris,Sarawak,G.,7,54,833,,0.56,0.058,135,81,12.5,58,10100,1440,58,0.112,0.039,15,0.184,0.067,15,0.66,0.117,61,39.2,6.17,135,4230,927,58,10.3,1.84,66,9.6,1.17,34,15.4,2.35,34
363,Hardwoods,"Sepetir, swamp",Pseudosindora palustris,Sarawak,A.D.,7,12,,657,0.59,0.065,121,125,18.6,57,12700,1740,57,0.112,0.034,19,0.15,0.03,19,0.84,0.18,59,63.8,7.55,121,6270,1419,57,15.9,2.74,66,9.6,1.39,35,16.6,2.66,35
364,Hardwoods,Seraya dark red,Shorea pauciflora,Sabah,G.,5,69,689,,0.46,0.053,80,68,8.8,34,9700,1360,34,0.072,0.022,16,0.161,0.067,16,0.69,0.138,35,33.9,4.43,80,3110,611,34,8.7,1.38,44,11.6,2.77,21,15.1,3.62,21
365,Hardwoods,Seraya dark red,Shorea pauciflora,Sabah,A.D.,5,12,,561,0.5,0.059,80,92,13.2,38,11400,1450,38,0.116,0.03,12,0.153,0.046,12,0.74,0.187,38,52.9,6.16,80,3470,813,38,11.4,1.94,38,12.4,2.32,17,15.9,2.81,17
366,Hardwoods,"Seraya, light red",Shorea leptoclados,Sabah,G.,5,73,545,,0.36,0.037,105,50,6.0,54,7000,880,54,0.053,0.011,24,0.121,0.038,24,0.56,0.103,50,27.0,3.4,105,2000,416,54,5.9,0.92,52,8.1,1.4,28,13.1,2.36,28
367,Hardwoods,"Seraya, light red",Shorea leptoclados,Sabah,A.D.,5,12,,433,0.38,0.049,128,68,7.7,52,8300,760,52,0.071,0.017,19,0.11,0.036,19,0.53,0.125,54,37.0,4.43,128,2270,547,52,9.1,0.96,62,11.0,1.37,29,14.4,2.05,29
368,Hardwoods,"Seraya, light red",Shorea macrophylla,Sabah,G.,5,74,449,,0.3,0.028,34,43,4.7,34,7500,750,34,,,,,,,0.41,0.076,34,22.7,2.45,34,1470,283,34,4.9,0.72,68,,,,,,
369,Hardwoods,"Seraya, light red",Shorea macrophylla,Sabah,A.D.,5,12.5,,352,0.31,0.026,33,59,7.2,30,7300,1070,30,,,,,,,0.46,0.069,30,32.7,3.64,33,1510,269,33,6.5,1.11,66,,,,,,
370,Hardwoods,"Seraya, light red",Shorea parvifolia,Sabah,G.,5,84,513,,0.34,0.06,67,48,9.8,34,6700,1110,34,0.052,0.013,21,0.105,0.042,21,0.46,0.134,28,23.9,5.17,67,1960,660,34,5.6,1.21,42,8.2,1.88,20,11.7,3.86,20
371,Hardwoods,"Seraya, light red",Shorea parvifolia,Sabah,A.D.,5,12,,433,0.38,0.063,59,69,12.1,28,7900,1190,28,0.072,0.021,18,0.108,0.043,18,0.61,0.146,26,42.5,6.17,59,2050,731,28,7.6,1.63,38,10.5,1.84,19,14.4,3.42,19
372,Hardwoods,"Seraya, light red",Shorea smithiana,Sabah,G.,5,64,513,,0.35,0.071,88,50,11.0,32,7200,1380,32,0.05,0.016,16,0.078,0.034,16,0.43,0.109,34,25.3,6.94,88,1960,804,32,4.8,1.6,40,7.4,1.17,20,10.5,2.4,20
373,Hardwoods,"Seraya, light red",Shorea smithiana,Sabah,A.D.,5,12,,449,0.4,0.075,64,74,15.4,29,9100,1580,29,0.074,0.021,17,0.112,0.033,17,0.58,0.139,28,45.3,9.54,64,2400,829,29,7.6,1.77,38,10.5,2.35,18,13.3,2.81,18
374,Hardwoods,"Seraya, light red",Shorea waltonii and possibly allied species,Sabah,G.,4,70,529,,0.35,0.034,54,52,4.1,22,8100,710,22,0.057,0.013,22,0.12,0.038,21,0.51,0.108,25,26.4,2.97,54,2050,335,22,7.1,1.14,30,8.6,1.32,13,11.9,1.84,13
375,Hardwoods,"Seraya, light red",Shorea waltonii and possibly allied species,Sabah,A.D.,4,12,,400,0.36,0.042,58,71,5.8,26,8800,860,26,0.085,0.01,16,0.114,0.036,16,0.56,0.134,23,39.5,4.36,58,2183,483,26,8.1,1.06,30,9.8,0.87,16,12.3,2.46,16
376,Hardwoods,"Seraya, white",Parashorea tomentella,Sabah,G.,5,70,577,,0.39,0.054,116,57,8.6,52,7700,1210,52,0.057,0.016,26,0.174,0.064,26,0.61,0.18,55,29.6,4.76,116,2580,523,52,6.3,1.11,60,9.8,1.53,28,12.3,2.18,28
377,Hardwoods,"Seraya, white",Parashorea tomentella,Sabah,A.D.,5,12,,481,0.43,0.056,88,75,11.1,42,8900,1210,42,0.083,0.022,22,0.185,0.085,22,0.71,0.144,43,45.5,5.95,88,2620,713,42,8.4,1.82,40,10.2,1.42,24,12.4,1.59,24
378,Hardwoods,"Seraya, white",Parashorea malaanonan,Sabah,G.,5,66,641,,0.42,0.051,70,61,8.2,34,9100,1370,34,0.059,0.014,19,0.181,0.05,19,0.69,0.146,35,31.9,4.82,70,2940,620,34,7.1,0.96,30,8.9,1.21,17,11.9,2.06,17
379,Hardwoods,"Seraya, white",Parashorea malaanonan,Sabah,A.D.,5,12,,513,0.46,0.056,73,81,12.5,33,9700,1300,33,0.085,0.019,20,0.184,0.051,20,0.71,0.156,37,48.3,7.22,73,3160,786,33,9.8,1.23,34,8.9,1.34,19,10.2,1.32,19
380,Hardwoods,"Seraya, white",Parashorea sp.,Sabah,G.,14 pieces,30,705,,0.47,0.056,51,62,7.4,25,10400,1480,25,0.083,0.026,25,0.176,0.043,12,0.69,0.102,21,31.6,4.54,48,2850,625,39,10.0,1.65,29,11.7,1.67,29,,,
381,Hardwoods,"Seraya, white",Parashorea sp.,Sabah,A.D.,28 pieces,12,,529,0.47,0.055,97,85,11.8,47,11600,1870,47,0.105,0.033,23,0.178,0.061,11,0.74,0.1,36,51.5,6.18,85,2940,575,62,8.1,1.14,27,11.2,1.92,43,11.7,1.77,43
382,Hardwoods,"Seraya, yellow",Shorea acuminatissima,Sabah,G.,1,93,609,,0.4,0.034,18,57,4.7,8,7400,610,8,0.07,0.019,7,0.107,0.025,7,0.51,0.102,8,27.6,2.04,18,2980,323,8,8.3,1.13,12,9.8,0.58,4,14.2,0.86,4
383,Hardwoods,"Seraya, yellow",Shorea acuminatissima,Sabah,A.D.,1,12,,497,0.44,0.045,19,72,5.5,8,8200,700,8,0.061,0.01,8,0.079,0.014,8,0.48,0.082,9,42.1,3.79,19,2580,401,8,12.5,2.94,10,8.9,1.64,4,12.6,1.43,4
384,Hardwoods,"Seraya, yellow",Shorea faguetiana,Sabah,G.,5,107,673,,0.45,0.035,100,66,8.5,45,9700,1270,45,0.063,0.019,23,0.149,0.036,23,0.71,0.108,45,32.1,4.32,100,3380,456,45,8.4,1.64,50,11.4,2.05,24,15.8,2.93,24
385,Hardwoods,"Seraya, yellow",Shorea faguetiana,Sabah,A.D.,5,12,,529,0.48,0.037,95,88,7.5,43,10000,1080,43,0.097,0.027,21,0.153,0.044,21,0.76,0.089,38,50.6,4.59,95,3290,517,43,10.5,1.27,46,10.9,1.54,28,15.9,2.1,28
386,Hardwoods,"Seraya, yellow",Shorea gibbosa,Sabah,G.,1,63,625,,0.42,0.03,18,67,4.4,9,9000,800,9,0.081,0.017,8,0.19,0.04,8,0.71,0.161,9,32.0,2.44,18,3160,509,9,8.3,1.27,12,9.3,1.03,8,15.8,1.56,8
387,Hardwoods,"Seraya, yellow",Shorea gibbosa,Sabah,A.D.,1,12,,497,0.45,0.046,18,91,7.4,9,10600,460,9,0.114,0.025,9,0.169,0.042,9,0.74,0.065,8,47.5,2.88,18,3650,812,9,11.3,1.09,14,9.1,0.53,7,13.0,1.04,7
388,Hardwoods,"Seraya, yellow",Shorea hopeifolia,Sabah,G.,1,83,689,,0.46,0.034,16,58,6.9,8,8400,820,8,0.068,0.022,7,0.11,0.037,7,0.51,0.11,8,27.9,2.91,16,3340,693,8,8.1,1.52,8,11.7,0.22,3,15.8,1.45,3
389,Hardwoods,"Seraya, yellow",Shorea hopeifolia,Sabah,A.D.,1,12,,545,0.49,0.041,16,83,3.2,7,10000,1320,7,0.085,0.01,7,0.1,0.014,7,0.58,0.088,9,42.4,2.34,16,3420,530,7,11.9,1.54,10,10.5,1.25,6,13.5,1.07,6
390,Hardwoods,Serrette,Byrsonima coriacea var. spicata,Trinidad,G.,10,78,865,,0.57,0.047,133,84,9.9,61,10800,2480,61,0.086,0.026,18,0.201,0.051,18,0.71,0.159,66,39.8,5.98,133,5160,798,61,11.8,2.25,78,15.1,2.07,39,23.3,4.58,39
391,Hardwoods,Serrette,Byrsonima coriacea var. spicata,Trinidad,A.D.,10,12,,705,0.63,0.048,126,124,16.1,59,13400,1570,59,0.127,0.036,22,0.165,0.059,22,0.74,0.133,59,67.2,6.21,126,6810,965,59,16.8,2.98,76,12.3,1.35,36,24.2,3.28,36
392,Hardwoods,"Sterculia, brown",Sterculia rhinopetala,Nigeria,G.,5,61,961,,0.64,0.079,487,87,14.3,169,10800,1490,169,0.128,0.04,42,0.285,0.083,42,0.91,0.148,159,42.5,7.49,159,6270,1691,169,9.6,1.74,152,11.6,1.82,75,22.2,4.12,76
393,Hardwoods,"Sterculia, brown",Sterculia rhinopetala,Nigeria,A.D.,5,12,,801,0.72,0.096,181,145,21.6,84,14100,1720,84,0.211,0.058,23,0.371,0.111,23,1.3,0.276,86,69.6,9.41,181,8050,2349,84,15.0,1.87,76,20.0,4.44,39,30.5,5.04,40
394,Hardwoods,"Sterculia, yellow",Sterculia oblonga,Nigeria,G.,5,60,913,,0.61,0.049,437,81,15.1,156,10300,1610,156,0.101,0.037,156,0.283,0.112,40,0.66,0.205,128,38.7,8.23,153,3910,842,125,7.2,2.13,130,12.3,2.07,70,15.8,3.76,70
395,Hardwoods,"Sterculia, yellow",Sterculia oblonga,Nigeria,A.D.,5,12,,769,0.68,0.045,413,123,17.1,145,13700,1480,142,0.126,0.04,142,0.257,0.073,142,1.02,0.178,123,67.2,7.47,145,4980,860,145,12.5,2.93,134,13.8,2.09,71,19.8,4.7,71
396,Hardwoods,Sycamore,Acer pseudoplatanus,United Kingdom,G.,16,69,721,,0.49,0.027,452,66,8.8,43,8400,1340,43,0.111,0.028,43,0.225,0.048,18,0.74,0.146,26,27.5,3.43,426,3830,496,143,10.0,1.33,169,15.8,1.88,82,20.8,2.32,83
397,Hardwoods,Sycamore,Acer pseudoplatanus,United Kingdom,A.D.,16,12,,561,0.51,0.028,455,99,11.0,61,9400,1160,61,0.121,0.028,61,0.163,0.049,34,0.84,0.136,32,48.2,4.83,340,4850,639,276,17.1,2.32,212,16.8,2.95,78,27.3,3.91,79
398,Hardwoods,Tallowwood,Eucalyptus microcorys,Australia,G.,3,40,1234,,0.82,0.022,26,110,2.7,9,16500,930,9,0.1,0.027,9,0.269,0.044,4,0.91,0.08,8,63.8,2.63,24,8320,615,7,14.1,0.68,10,17.3,1.99,4,18.9,0.74,4
399,Hardwoods,Tallowwood,Eucalyptus microcorys,Australia,A.D.,3,12,,1009,0.91,0.011,13,185,7.8,6,20500,970,6,0.192,0.017,6,0.295,0.016,6,,,,102.8,5.26,8,9870,482,6,18.8,1.43,6,12.8,,2,12.1,,2
400,Hardwoods,Tatajuba,Bagassa guianensis,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Hardwoods,Tatajuba,Bagassa guianensis,Brazil,A.D.,20 planks,11.5,,815,0.73,0.063,74,136,25.5,19,14700,2200,19,0.108,0.034,19,0.206,0.071,19,0.86,0.239,17,83.1,13.45,74,8980,2430,19,18.9,3.48,82,16.5,2.53,35,20.7,3.0,35
402,Hardwoods,Tchitola,Oxystigma oxyphyllum,Zaire,G.,5,57,801,,0.53,0.033,38,81,11.5,38,10500,1050,38,,,,,,,1.04,0.292,35,39.2,4.45,38,4890,826,38,10.2,1.46,76,,,,,,
403,Hardwoods,Tchitola,Oxystigma oxyphyllum,Zaire,A.D.,5,12.6,,641,0.57,0.04,37,112,11.4,35,11600,1300,35,,,,,,,0.99,0.217,35,57.2,4.5,37,5560,971,36,13.9,1.83,74,,,,,,
404,Hardwoods,Teak,Tectona grandis,Burma,G.,60 planks,48,817,,0.55,0.05,112,84,12.3,106,8800,1540,106,0.113,0.035,106,0.223,0.07,106,0.86,0.161,98,42.8,7.06,112,4140,732,112,10.1,1.45,222,14.9,2.21,108,17.5,2.91,107
405,Hardwoods,Teak,Tectona grandis,Burma,A.D.,60 planks,10.6,,641,0.58,0.05,111,106,17.1,106,10000,1980,106,0.101,0.027,106,0.134,0.05,106,0.66,0.14,97,60.4,9.18,111,4450,718,109,14.8,1.96,218,14.4,2.03,109,17.9,2.38,109
